id,internal_memory,performance,main_camera,selfie_camera,battery_size,screen_size,weight,price,age,gender,occupation,y_true,y_predict,Apple,Google,Motorola,Samsung,Xiaomi
0,128_GB,Ultra top,15_50_MP,<10_MP,<4000_mAh,<6.4_inches,<190_g,450_700_dollars,35_45_years,Female,Technology,Samsung,Apple,1,0,0,0,0
1,>=256_GB,Top,<15_MP,10_30_MP,<4000_mAh,<6.4_inches,190_205_g,>700_dollars,35_45_years,Female,Technology,Apple,Apple,1,0,0,0,0
2,128_GB,Mid,15_50_MP,<10_MP,4000_4700_mAh,<6.4_inches,>205_g,450_700_dollars,25_35_years,Female,Business,Google,Google,0,1,0,0,0
3,128_GB,Mid,15_50_MP,<10_MP,4000_4700_mAh,6.4_6.6_inches,190_205_g,>700_dollars,25_35_years,Female,Business,Samsung,Samsung,0,0,0,1,0
4,128_GB,Mid,<15_MP,<10_MP,4000_4700_mAh,<6.4_inches,<190_g,200_450_dollars,25_35_years,Female,Administration,Google,Google,0,1,0,0,0
5,<=64_GB,Low,15_50_MP,<10_MP,>4700_mAh,6.4_6.6_inches,190_205_g,<200_dollars,25_35_years,Female,Administration,Motorola,Motorola,0,0,1,0,0
6,128_GB,Top,<15_MP,10_30_MP,<4000_mAh,<6.4_inches,<190_g,450_700_dollars,25_35_years,Female,Administration,Apple,Apple,1,0,0,0,0
7,128_GB,Ultra top,15_50_MP,<10_MP,<4000_mAh,<6.4_inches,<190_g,450_700_dollars,35_45_years,Male,Administration,Samsung,Samsung,0,0,0,1,0
8,128_GB,Top,<15_MP,10_30_MP,<4000_mAh,<6.4_inches,<190_g,450_700_dollars,35_45_years,Male,Administration,Apple,Apple,1,0,0,0,0
9,<=64_GB,Low,<15_MP,<10_MP,>4700_mAh,6.4_6.6_inches,190_205_g,<200_dollars,25_35_years,Female,Other,Motorola,Motorola,0,0,1,0,0
10,128_GB,Ultra top,15_50_MP,<10_MP,<4000_mAh,<6.4_inches,<190_g,450_700_dollars,25_35_years,Female,Other,Samsung,Samsung,0,0,0,1,0
11,<=64_GB,Low,15_50_MP,<10_MP,>4700_mAh,6.4_6.6_inches,190_205_g,<200_dollars,25_35_years,Female,Other,Motorola,Motorola,0,0,1,0,0
12,128_GB,Low,15_50_MP,10_30_MP,>4700_mAh,>6.6_inches,>205_g,450_700_dollars,25_35_years,Female,Other,Motorola,Motorola,0,0,1,0,0
13,>=256_GB,Mid,>50_MP,10_30_MP,>4700_mAh,6.4_6.6_inches,190_205_g,200_450_dollars,25_35_years,Female,Other,Xiaomi,Xiaomi,0,0,0,0,1
14,128_GB,Top,<15_MP,10_30_MP,<4000_mAh,<6.4_inches,<190_g,450_700_dollars,25_35_years,Female,Other,Apple,Apple,1,0,0,0,0
15,128_GB,Top,<15_MP,10_30_MP,<4000_mAh,<6.4_inches,<190_g,450_700_dollars,35_45_years,Male,Business,Apple,Apple,1,0,0,0,0
16,128_GB,Top,<15_MP,10_30_MP,<4000_mAh,<6.4_inches,<190_g,450_700_dollars,>45_years,Female,Business,Apple,Apple,1,0,0,0,0
17,128_GB,Mid,15_50_MP,<10_MP,4000_4700_mAh,6.4_6.6_inches,190_205_g,>700_dollars,<25_years,Male,Other,Samsung,Samsung,0,0,0,1,0
